Week_end,Indicator,High_industry,Value
2019-12-29,Weekly earnings - upper quartile - 34 days,Total,1508.57
2019-12-29,Weekly earnings - upper quartile - 34 days,A Primary,1276.04
2019-12-29,Weekly earnings - upper quartile - 34 days,B Goods Producing,1551.47
2019-12-29,Weekly earnings - upper quartile - 34 days,C Services,1525.73
2019-12-29,Weekly earnings - upper quartile - 34 days,Z No Match,960.8
2019-12-29,Weekly earnings - lower quartile - 34 days,Total,690
2019-12-29,Weekly earnings - lower quartile - 34 days,A Primary,511.04
2019-12-29,Weekly earnings - lower quartile - 34 days,B Goods Producing,845.82
2019-12-29,Weekly earnings - lower quartile - 34 days,C Services,663.75
2019-12-29,Weekly earnings - lower quartile - 34 days,Z No Match,400
2020-01-05,Number of paid jobs - 34 days,Total,2128470
2020-01-05,Number of paid jobs - 34 days,A Primary,105300
2020-01-05,Number of paid jobs - 34 days,B Goods Producing,395960
2020-01-05,Number of paid jobs - 34 days,C Services,1588750
2020-01-05,Number of paid jobs - 34 days,Z No Match,38460
2020-01-05,Weekly earnings - median - 34 days,Total,1040
2020-01-05,Weekly earnings - median - 34 days,A Primary,921.04
2020-01-05,Weekly earnings - median - 34 days,B Goods Producing,1133.85
2020-01-05,Weekly earnings - median - 34 days,C Services,1034.9
2020-01-05,Weekly earnings - median - 34 days,Z No Match,655.45
2020-01-05,Weekly earnings - upper quartile - 34 days,Total,1500
2020-01-05,Weekly earnings - upper quartile - 34 days,A Primary,1259.58
2020-01-05,Weekly earnings - upper quartile - 34 days,B Goods Producing,1543.3
2020-01-05,Weekly earnings - upper quartile - 34 days,C Services,1517.72
2020-01-05,Weekly earnings - upper quartile - 34 days,Z No Match,961.54
2020-01-05,Weekly earnings - lower quartile - 34 days,Total,664.55
2020-01-05,Weekly earnings - lower quartile - 34 days,A Primary,482.84
2020-01-05,Weekly earnings - lower quartile - 34 days,B Goods Producing,810
2020-01-05,Weekly earnings - lower quartile - 34 days,C Services,648
2020-01-05,Weekly earnings - lower quartile - 34 days,Z No Match,389.4
2020-01-12,Number of paid jobs - 34 days,Total,2130680
2020-01-12,Number of paid jobs - 34 days,A Primary,108060
2020-01-12,Number of paid jobs - 34 days,B Goods Producing,401880
2020-01-12,Number of paid jobs - 34 days,C Services,1581010
2020-01-12,Number of paid jobs - 34 days,Z No Match,39740
2020-01-12,Weekly earnings - median - 34 days,Total,1038.26
2020-01-12,Weekly earnings - median - 34 days,A Primary,939.45
2020-01-12,Weekly earnings - median - 34 days,B Goods Producing,1165.74
2020-01-12,Weekly earnings - median - 34 days,C Services,1019.23
2020-01-12,Weekly earnings - median - 34 days,Z No Match,661.94
2020-01-12,Weekly earnings - upper quartile - 34 days,Total,1500
2020-01-12,Weekly earnings - upper quartile - 34 days,A Primary,1260.9
2020-01-12,Weekly earnings - upper quartile - 34 days,B Goods Producing,1569.61
2020-01-12,Weekly earnings - upper quartile - 34 days,C Services,1506.97
2020-01-12,Weekly earnings - upper quartile - 34 days,Z No Match,968.89
2020-01-12,Weekly earnings - lower quartile - 34 days,Total,685.26
2020-01-12,Weekly earnings - lower quartile - 34 days,A Primary,568.88
2020-01-12,Weekly earnings - lower quartile - 34 days,B Goods Producing,860.3
2020-01-12,Weekly earnings - lower quartile - 34 days,C Services,650.38
2020-01-12,Weekly earnings - lower quartile - 34 days,Z No Match,399.75
2020-01-19,Number of paid jobs - 34 days,Total,2176880
2020-01-19,Number of paid jobs - 34 days,A Primary,110480
2020-01-19,Number of paid jobs - 34 days,B Goods Producing,413920
2020-01-19,Number of paid jobs - 34 days,C Services,1611520
2020-01-19,Number of paid jobs - 34 days,Z No Match,40960
2020-01-19,Weekly earnings - median - 34 days,Total,1031.48
2020-01-19,Weekly earnings - median - 34 days,A Primary,939.56
2020-01-19,Weekly earnings - median - 34 days,B Goods Producing,1173
2020-01-19,Weekly earnings - median - 34 days,C Services,1006.5
2020-01-19,Weekly earnings - median - 34 days,Z No Match,661.47
2020-01-19,Weekly earnings - upper quartile - 34 days,Total,1488.5
2020-01-19,Weekly earnings - upper quartile - 34 days,A Primary,1260
2020-01-19,Weekly earnings - upper quartile - 34 days,B Goods Producing,1566.88
2020-01-19,Weekly earnings - upper quartile - 34 days,C Services,1491.5
2020-01-19,Weekly earnings - upper quartile - 34 days,Z No Match,970.38
2020-01-19,Weekly earnings - lower quartile - 34 days,Total,680.5
2020-01-19,Weekly earnings - lower quartile - 34 days,A Primary,567
2020-01-19,Weekly earnings - lower quartile - 34 days,B Goods Producing,877.5
2020-01-19,Weekly earnings - lower quartile - 34 days,C Services,636.4
2020-01-19,Weekly earnings - lower quartile - 34 days,Z No Match,395.16
2020-01-26,Number of paid jobs - 34 days,Total,2192490
2020-01-26,Number of paid jobs - 34 days,A Primary,109950
2020-01-26,Number of paid jobs - 34 days,B Goods Producing,417390
2020-01-26,Number of paid jobs - 34 days,C Services,1622040
2020-01-26,Number of paid jobs - 34 days,Z No Match,43110
2020-01-26,Weekly earnings - median - 34 days,Total,1034.25
2020-01-26,Weekly earnings - median - 34 days,A Primary,939.6
2020-01-26,Weekly earnings - median - 34 days,B Goods Producing,1173.21
2020-01-26,Weekly earnings - median - 34 days,C Services,1009.61
2020-01-26,Weekly earnings - median - 34 days,Z No Match,646.01
2020-01-26,Weekly earnings - upper quartile - 34 days,Total,1485.69
2020-01-26,Weekly earnings - upper quartile - 34 days,A Primary,1267
2020-01-26,Weekly earnings - upper quartile - 34 days,B Goods Producing,1557.5
2020-01-26,Weekly earnings - upper quartile - 34 days,C Services,1491.13
2020-01-26,Weekly earnings - upper quartile - 34 days,Z No Match,958.92
2020-01-26,Weekly earnings - lower quartile - 34 days,Total,685.59
2020-01-26,Weekly earnings - lower quartile - 34 days,A Primary,567.33
2020-01-26,Weekly earnings - lower quartile - 34 days,B Goods Producing,882
2020-01-26,Weekly earnings - lower quartile - 34 days,C Services,640.16
2020-01-26,Weekly earnings - lower quartile - 34 days,Z No Match,380
2020-02-02,Number of paid jobs - 34 days,Total,2223430
2020-02-02,Number of paid jobs - 34 days,A Primary,108710
2020-02-02,Number of paid jobs - 34 days,B Goods Producing,420260
2020-02-02,Number of paid jobs - 34 days,C Services,1650130
2020-02-02,Number of paid jobs - 34 days,Z No Match,44320
2020-02-02,Weekly earnings - median - 34 days,Total,1032.28
2020-02-02,Weekly earnings - median - 34 days,A Primary,932.3
2020-02-02,Weekly earnings - median - 34 days,B Goods Producing,1176
2020-02-02,Weekly earnings - median - 34 days,C Services,1007.42
2020-02-02,Weekly earnings - median - 34 days,Z No Match,655.41
2020-02-02,Weekly earnings - upper quartile - 34 days,Total,1485.01
2020-02-02,Weekly earnings - upper quartile - 34 days,A Primary,1260
2020-02-02,Weekly earnings - upper quartile - 34 days,B Goods Producing,1564.2
2020-02-02,Weekly earnings - upper quartile - 34 days,C Services,1487.5
2020-02-02,Weekly earnings - upper quartile - 34 days,Z No Match,962.57
2020-02-02,Weekly earnings - lower quartile - 34 days,Total,671.09
2020-02-02,Weekly earnings - lower quartile - 34 days,A Primary,542.88
2020-02-02,Weekly earnings - lower quartile - 34 days,B Goods Producing,880.55
2020-02-02,Weekly earnings - lower quartile - 34 days,C Services,623.08
2020-02-02,Weekly earnings - lower quartile - 34 days,Z No Match,376.25
2020-02-09,Number of paid jobs - 34 days,Total,2201930
2020-02-09,Number of paid jobs - 34 days,A Primary,104280
2020-02-09,Number of paid jobs - 34 days,B Goods Producing,419050
2020-02-09,Number of paid jobs - 34 days,C Services,1638850
2020-02-09,Number of paid jobs - 34 days,Z No Match,39740
2020-02-09,Weekly earnings - median - 34 days,Total,1040.35
2020-02-09,Weekly earnings - median - 34 days,A Primary,942.74
2020-02-09,Weekly earnings - median - 34 days,B Goods Producing,1180
2020-02-09,Weekly earnings - median - 34 days,C Services,1019.24
2020-02-09,Weekly earnings - median - 34 days,Z No Match,344.46
2020-02-09,Weekly earnings - upper quartile - 34 days,Total,1499.46
2020-02-09,Weekly earnings - upper quartile - 34 days,A Primary,1269.23
2020-02-09,Weekly earnings - upper quartile - 34 days,B Goods Producing,1576.38
2020-02-09,Weekly earnings - upper quartile - 34 days,C Services,1501.67
2020-02-09,Weekly earnings - upper quartile - 34 days,Z No Match,688.06
2020-02-09,Weekly earnings - lower quartile - 34 days,Total,675.54
2020-02-09,Weekly earnings - lower quartile - 34 days,A Primary,571.1
2020-02-09,Weekly earnings - lower quartile - 34 days,B Goods Producing,883.54
2020-02-09,Weekly earnings - lower quartile - 34 days,C Services,636.07
2020-02-09,Weekly earnings - lower quartile - 34 days,Z No Match,161.83
2020-02-16,Number of paid jobs - 34 days,Total,2190550
2020-02-16,Number of paid jobs - 34 days,A Primary,104400
2020-02-16,Number of paid jobs - 34 days,B Goods Producing,417760
2020-02-16,Number of paid jobs - 34 days,C Services,1637540
2020-02-16,Number of paid jobs - 34 days,Z No Match,30850
2020-02-16,Weekly earnings - median - 34 days,Total,1036.58
2020-02-16,Weekly earnings - median - 34 days,A Primary,946
2020-02-16,Weekly earnings - median - 34 days,B Goods Producing,1192.31
2020-02-16,Weekly earnings - median - 34 days,C Services,1005.75
2020-02-16,Weekly earnings - median - 34 days,Z No Match,489.78
2020-02-16,Weekly earnings - upper quartile - 34 days,Total,1497.2
2020-02-16,Weekly earnings - upper quartile - 34 days,A Primary,1264.48
2020-02-16,Weekly earnings - upper quartile - 34 days,B Goods Producing,1588.22
2020-02-16,Weekly earnings - upper quartile - 34 days,C Services,1490.93
2020-02-16,Weekly earnings - upper quartile - 34 days,Z No Match,814.65
2020-02-16,Weekly earnings - lower quartile - 34 days,Total,673.49
2020-02-16,Weekly earnings - lower quartile - 34 days,A Primary,576.92
2020-02-16,Weekly earnings - lower quartile - 34 days,B Goods Producing,892.75
2020-02-16,Weekly earnings - lower quartile - 34 days,C Services,621.65
2020-02-16,Weekly earnings - lower quartile - 34 days,Z No Match,242.74
2020-02-23,Number of paid jobs - 34 days,Total,2178840
2020-02-23,Number of paid jobs - 34 days,A Primary,104610
2020-02-23,Number of paid jobs - 34 days,B Goods Producing,415550
2020-02-23,Number of paid jobs - 34 days,C Services,1626540
2020-02-23,Number of paid jobs - 34 days,Z No Match,32140
2020-02-23,Weekly earnings - median - 34 days,Total,1035
2020-02-23,Weekly earnings - median - 34 days,A Primary,941.27
2020-02-23,Weekly earnings - median - 34 days,B Goods Producing,1192.31
2020-02-23,Weekly earnings - median - 34 days,C Services,1005.5
2020-02-23,Weekly earnings - median - 34 days,Z No Match,442.29
2020-02-23,Weekly earnings - upper quartile - 34 days,Total,1499.5
2020-02-23,Weekly earnings - upper quartile - 34 days,A Primary,1271.78
2020-02-23,Weekly earnings - upper quartile - 34 days,B Goods Producing,1588.17
2020-02-23,Weekly earnings - upper quartile - 34 days,C Services,1493.8
2020-02-23,Weekly earnings - upper quartile - 34 days,Z No Match,805.36
2020-02-23,Weekly earnings - lower quartile - 34 days,Total,665.04
2020-02-23,Weekly earnings - lower quartile - 34 days,A Primary,564.11
2020-02-23,Weekly earnings - lower quartile - 34 days,B Goods Producing,890.4
2020-02-23,Weekly earnings - lower quartile - 34 days,C Services,615.81
2020-02-23,Weekly earnings - lower quartile - 34 days,Z No Match,229.47
2020-03-01,Number of paid jobs - 34 days,Total,2234860
2020-03-01,Number of paid jobs - 34 days,A Primary,104870
2020-03-01,Number of paid jobs - 34 days,B Goods Producing,421260
2020-03-01,Number of paid jobs - 34 days,C Services,1669950
2020-03-01,Number of paid jobs - 34 days,Z No Match,38780
2020-03-01,Weekly earnings - median - 34 days,Total,1028.37
2020-03-01,Weekly earnings - median - 34 days,A Primary,955
2020-03-01,Weekly earnings - median - 34 days,B Goods Producing,1190.25
2020-03-01,Weekly earnings - median - 34 days,C Services,1000
2020-03-01,Weekly earnings - median - 34 days,Z No Match,504.63
2020-03-01,Weekly earnings - upper quartile - 34 days,Total,1492.31
2020-03-01,Weekly earnings - upper quartile - 34 days,A Primary,1279.47
2020-03-01,Weekly earnings - upper quartile - 34 days,B Goods Producing,1584
2020-03-01,Weekly earnings - upper quartile - 34 days,C Services,1488.32
2020-03-01,Weekly earnings - upper quartile - 34 days,Z No Match,804.11
2020-03-01,Weekly earnings - lower quartile - 34 days,Total,653.06
2020-03-01,Weekly earnings - lower quartile - 34 days,A Primary,573.97
2020-03-01,Weekly earnings - lower quartile - 34 days,B Goods Producing,886.12
2020-03-01,Weekly earnings - lower quartile - 34 days,C Services,602.25
2020-03-01,Weekly earnings - lower quartile - 34 days,Z No Match,276.34
2020-03-08,Number of paid jobs - 34 days,Total,2215180
2020-03-08,Number of paid jobs - 34 days,A Primary,102440
2020-03-08,Number of paid jobs - 34 days,B Goods Producing,417530
2020-03-08,Number of paid jobs - 34 days,C Services,1658210
2020-03-08,Number of paid jobs - 34 days,Z No Match,36990
2020-03-08,Weekly earnings - median - 34 days,Total,1034.95
2020-03-08,Weekly earnings - median - 34 days,A Primary,954.87
2020-03-08,Weekly earnings - median - 34 days,B Goods Producing,1182.86
2020-03-08,Weekly earnings - median - 34 days,C Services,1007.75
2020-03-08,Weekly earnings - median - 34 days,Z No Match,415.51
2020-03-08,Weekly earnings - upper quartile - 34 days,Total,1494.03
2020-03-08,Weekly earnings - upper quartile - 34 days,A Primary,1276.35
2020-03-08,Weekly earnings - upper quartile - 34 days,B Goods Producing,1572.38
2020-03-08,Weekly earnings - upper quartile - 34 days,C Services,1494.45
2020-03-08,Weekly earnings - upper quartile - 34 days,Z No Match,784
2020-03-08,Weekly earnings - lower quartile - 34 days,Total,666.83
2020-03-08,Weekly earnings - lower quartile - 34 days,A Primary,584.6
2020-03-08,Weekly earnings - lower quartile - 34 days,B Goods Producing,889.02
2020-03-08,Weekly earnings - lower quartile - 34 days,C Services,617.11
2020-03-08,Weekly earnings - lower quartile - 34 days,Z No Match,150
2020-03-15,Number of paid jobs - 34 days,Total,2209760
2020-03-15,Number of paid jobs - 34 days,A Primary,102660
2020-03-15,Number of paid jobs - 34 days,B Goods Producing,418270
2020-03-15,Number of paid jobs - 34 days,C Services,1649290
2020-03-15,Number of paid jobs - 34 days,Z No Match,39540
2020-03-15,Weekly earnings - median - 34 days,Total,1036.19
2020-03-15,Weekly earnings - median - 34 days,A Primary,953.85
2020-03-15,Weekly earnings - median - 34 days,B Goods Producing,1187.79
2020-03-15,Weekly earnings - median - 34 days,C Services,1008.27
2020-03-15,Weekly earnings - median - 34 days,Z No Match,485.49
2020-03-15,Weekly earnings - upper quartile - 34 days,Total,1497.5
2020-03-15,Weekly earnings - upper quartile - 34 days,A Primary,1270.08
2020-03-15,Weekly earnings - upper quartile - 34 days,B Goods Producing,1576.92
2020-03-15,Weekly earnings - upper quartile - 34 days,C Services,1496.5
2020-03-15,Weekly earnings - upper quartile - 34 days,Z No Match,900
2020-03-15,Weekly earnings - lower quartile - 34 days,Total,670
2020-03-15,Weekly earnings - lower quartile - 34 days,A Primary,577.07
2020-03-15,Weekly earnings - lower quartile - 34 days,B Goods Producing,891
2020-03-15,Weekly earnings - lower quartile - 34 days,C Services,619.5
2020-03-15,Weekly earnings - lower quartile - 34 days,Z No Match,220
2020-03-22,Number of paid jobs - 34 days,Total,2231760
2020-03-22,Number of paid jobs - 34 days,A Primary,103790
2020-03-22,Number of paid jobs - 34 days,B Goods Producing,418600
2020-03-22,Number of paid jobs - 34 days,C Services,1660590
2020-03-22,Number of paid jobs - 34 days,Z No Match,48780
2020-03-22,Weekly earnings - median - 34 days,Total,1028.13
2020-03-22,Weekly earnings - median - 34 days,A Primary,947.91
2020-03-22,Weekly earnings - median - 34 days,B Goods Producing,1175
2020-03-22,Weekly earnings - median - 34 days,C Services,1004.71
2020-03-22,Weekly earnings - median - 34 days,Z No Match,559.61
2020-03-22,Weekly earnings - upper quartile - 34 days,Total,1489.5
2020-03-22,Weekly earnings - upper quartile - 34 days,A Primary,1275
2020-03-22,Weekly earnings - upper quartile - 34 days,B Goods Producing,1567.31
2020-03-22,Weekly earnings - upper quartile - 34 days,C Services,1495.02
2020-03-22,Weekly earnings - upper quartile - 34 days,Z No Match,828.57
2020-03-22,Weekly earnings - lower quartile - 34 days,Total,656
2020-03-22,Weekly earnings - lower quartile - 34 days,A Primary,565.58
2020-03-22,Weekly earnings - lower quartile - 34 days,B Goods Producing,880
2020-03-22,Weekly earnings - lower quartile - 34 days,C Services,613
2020-03-22,Weekly earnings - lower quartile - 34 days,Z No Match,323.66
2020-03-29,Number of paid jobs - 34 days,Total,2220260
2020-03-29,Number of paid jobs - 34 days,A Primary,101730
2020-03-29,Number of paid jobs - 34 days,B Goods Producing,416480
2020-03-29,Number of paid jobs - 34 days,C Services,1648510
2020-03-29,Number of paid jobs - 34 days,Z No Match,53540
2020-03-29,Weekly earnings - median - 34 days,Total,980.18
2020-03-29,Weekly earnings - median - 34 days,A Primary,929.06
2020-03-29,Weekly earnings - median - 34 days,B Goods Producing,1057.32
2020-03-29,Weekly earnings - median - 34 days,C Services,977.5
2020-03-29,Weekly earnings - median - 34 days,Z No Match,309.23
2020-03-29,Weekly earnings - upper quartile - 34 days,Total,1442.3
2020-03-29,Weekly earnings - upper quartile - 34 days,A Primary,1250
2020-03-29,Weekly earnings - upper quartile - 34 days,B Goods Producing,1442.31
2020-03-29,Weekly earnings - upper quartile - 34 days,C Services,1473.59
2020-03-29,Weekly earnings - upper quartile - 34 days,Z No Match,588
2020-03-29,Weekly earnings - lower quartile - 34 days,Total,599.33
2020-03-29,Weekly earnings - lower quartile - 34 days,A Primary,557.7
2020-03-29,Weekly earnings - lower quartile - 34 days,B Goods Producing,787.25
2020-03-29,Weekly earnings - lower quartile - 34 days,C Services,585.8
2020-03-29,Weekly earnings - lower quartile - 34 days,Z No Match,157.84
2020-04-05,Number of paid jobs - 34 days,Total,2194950
2020-04-05,Number of paid jobs - 34 days,A Primary,100270
2020-04-05,Number of paid jobs - 34 days,B Goods Producing,411960
2020-04-05,Number of paid jobs - 34 days,C Services,1631690
2020-04-05,Number of paid jobs - 34 days,Z No Match,51030
2020-04-05,Weekly earnings - median - 34 days,Total,958.7
2020-04-05,Weekly earnings - median - 34 days,A Primary,933.25
2020-04-05,Weekly earnings - median - 34 days,B Goods Producing,992
2020-04-05,Weekly earnings - median - 34 days,C Services,961.54
2020-04-05,Weekly earnings - median - 34 days,Z No Match,496.57
2020-04-05,Weekly earnings - upper quartile - 34 days,Total,1425.72
2020-04-05,Weekly earnings - upper quartile - 34 days,A Primary,1250
2020-04-05,Weekly earnings - upper quartile - 34 days,B Goods Producing,1380
2020-04-05,Weekly earnings - upper quartile - 34 days,C Services,1465.33
2020-04-05,Weekly earnings - upper quartile - 34 days,Z No Match,742.38
2020-04-05,Weekly earnings - lower quartile - 34 days,Total,585.8
2020-04-05,Weekly earnings - lower quartile - 34 days,A Primary,585.5
2020-04-05,Weekly earnings - lower quartile - 34 days,B Goods Producing,720
2020-04-05,Weekly earnings - lower quartile - 34 days,C Services,585.8
2020-04-05,Weekly earnings - lower quartile - 34 days,Z No Match,323.55
2020-04-12,Number of paid jobs - 34 days,Total,2145000
2020-04-12,Number of paid jobs - 34 days,A Primary,96030
2020-04-12,Number of paid jobs - 34 days,B Goods Producing,405480
2020-04-12,Number of paid jobs - 34 days,C Services,1604600
2020-04-12,Number of paid jobs - 34 days,Z No Match,38890
2020-04-12,Weekly earnings - median - 34 days,Total,961.54
2020-04-12,Weekly earnings - median - 34 days,A Primary,964.38
2020-04-12,Weekly earnings - median - 34 days,B Goods Producing,997.26
2020-04-12,Weekly earnings - median - 34 days,C Services,963.6
2020-04-12,Weekly earnings - median - 34 days,Z No Match,330.56
2020-04-12,Weekly earnings - upper quartile - 34 days,Total,1428.3
2020-04-12,Weekly earnings - upper quartile - 34 days,A Primary,1263.73
2020-04-12,Weekly earnings - upper quartile - 34 days,B Goods Producing,1389.97
2020-04-12,Weekly earnings - upper quartile - 34 days,C Services,1460.3
2020-04-12,Weekly earnings - upper quartile - 34 days,Z No Match,642.6
2020-04-12,Weekly earnings - lower quartile - 34 days,Total,588.79
2020-04-12,Weekly earnings - lower quartile - 34 days,A Primary,608
2020-04-12,Weekly earnings - lower quartile - 34 days,B Goods Producing,736
2020-04-12,Weekly earnings - lower quartile - 34 days,C Services,585.8
2020-04-12,Weekly earnings - lower quartile - 34 days,Z No Match,137.6
2020-04-19,Number of paid jobs - 34 days,Total,2157150
2020-04-19,Number of paid jobs - 34 days,A Primary,97390
2020-04-19,Number of paid jobs - 34 days,B Goods Producing,402650
2020-04-19,Number of paid jobs - 34 days,C Services,1604400
2020-04-19,Number of paid jobs - 34 days,Z No Match,52710
2020-04-19,Weekly earnings - median - 34 days,Total,952.78
2020-04-19,Weekly earnings - median - 34 days,A Primary,951.77
2020-04-19,Weekly earnings - median - 34 days,B Goods Producing,991.56
2020-04-19,Weekly earnings - median - 34 days,C Services,958.45
2020-04-19,Weekly earnings - median - 34 days,Z No Match,415.4
2020-04-19,Weekly earnings - upper quartile - 34 days,Total,1411.84
2020-04-19,Weekly earnings - upper quartile - 34 days,A Primary,1242.52
2020-04-19,Weekly earnings - upper quartile - 34 days,B Goods Producing,1387.69
2020-04-19,Weekly earnings - upper quartile - 34 days,C Services,1447.11
2020-04-19,Weekly earnings - upper quartile - 34 days,Z No Match,720
2020-04-19,Weekly earnings - lower quartile - 34 days,Total,585.8
2020-04-19,Weekly earnings - lower quartile - 34 days,A Primary,600
2020-04-19,Weekly earnings - lower quartile - 34 days,B Goods Producing,724.46
2020-04-19,Weekly earnings - lower quartile - 34 days,C Services,585.8
2020-04-19,Weekly earnings - lower quartile - 34 days,Z No Match,241.77
2020-04-26,Number of paid jobs - 34 days,Total,2190540
2020-04-26,Number of paid jobs - 34 days,A Primary,98780
2020-04-26,Number of paid jobs - 34 days,B Goods Producing,411500
2020-04-26,Number of paid jobs - 34 days,C Services,1636640
2020-04-26,Number of paid jobs - 34 days,Z No Match,43610
2020-04-26,Weekly earnings - median - 34 days,Total,960
2020-04-26,Weekly earnings - median - 34 days,A Primary,961.54
2020-04-26,Weekly earnings - median - 34 days,B Goods Producing,997.82
2020-04-26,Weekly earnings - median - 34 days,C Services,960
2020-04-26,Weekly earnings - median - 34 days,Z No Match,598.88
2020-04-26,Weekly earnings - upper quartile - 34 days,Total,1425.62
2020-04-26,Weekly earnings - upper quartile - 34 days,A Primary,1257.81
2020-04-26,Weekly earnings - upper quartile - 34 days,B Goods Producing,1394.2
2020-04-26,Weekly earnings - upper quartile - 34 days,C Services,1458.28
2020-04-26,Weekly earnings - upper quartile - 34 days,Z No Match,933.33
2020-04-26,Weekly earnings - lower quartile - 34 days,Total,585.9
2020-04-26,Weekly earnings - lower quartile - 34 days,A Primary,600.1
2020-04-26,Weekly earnings - lower quartile - 34 days,B Goods Producing,725.69
2020-04-26,Weekly earnings - lower quartile - 34 days,C Services,585.8
2020-04-26,Weekly earnings - lower quartile - 34 days,Z No Match,350
2020-05-03,Number of paid jobs - 34 days,Total,2201830
2020-05-03,Number of paid jobs - 34 days,A Primary,99570
2020-05-03,Number of paid jobs - 34 days,B Goods Producing,415300
2020-05-03,Number of paid jobs - 34 days,C Services,1641440
2020-05-03,Number of paid jobs - 34 days,Z No Match,45520
2020-05-03,Weekly earnings - median - 34 days,Total,984.05
2020-05-03,Weekly earnings - median - 34 days,A Primary,954.71
2020-05-03,Weekly earnings - median - 34 days,B Goods Producing,1092.51
2020-05-03,Weekly earnings - median - 34 days,C Services,961.54
2020-05-03,Weekly earnings - median - 34 days,Z No Match,585.8
2020-05-03,Weekly earnings - upper quartile - 34 days,Total,1442
2020-05-03,Weekly earnings - upper quartile - 34 days,A Primary,1258.85
2020-05-03,Weekly earnings - upper quartile - 34 days,B Goods Producing,1480.46
2020-05-03,Weekly earnings - upper quartile - 34 days,C Services,1450
2020-05-03,Weekly earnings - upper quartile - 34 days,Z No Match,923.08
2020-05-03,Weekly earnings - lower quartile - 34 days,Total,596.93
2020-05-03,Weekly earnings - lower quartile - 34 days,A Primary,590.69
2020-05-03,Weekly earnings - lower quartile - 34 days,B Goods Producing,809.48
2020-05-03,Weekly earnings - lower quartile - 34 days,C Services,585.8
2020-05-03,Weekly earnings - lower quartile - 34 days,Z No Match,323.65
2020-05-10,Number of paid jobs - 34 days,Total,2186420
2020-05-10,Number of paid jobs - 34 days,A Primary,98240
2020-05-10,Number of paid jobs - 34 days,B Goods Producing,414440
2020-05-10,Number of paid jobs - 34 days,C Services,1638000
2020-05-10,Number of paid jobs - 34 days,Z No Match,35740
2020-05-10,Weekly earnings - median - 34 days,Total,991.51
2020-05-10,Weekly earnings - median - 34 days,A Primary,931.54
2020-05-10,Weekly earnings - median - 34 days,B Goods Producing,1125
2020-05-10,Weekly earnings - median - 34 days,C Services,961.5
2020-05-10,Weekly earnings - median - 34 days,Z No Match,566.4
2020-05-10,Weekly earnings - upper quartile - 34 days,Total,1442.31
2020-05-10,Weekly earnings - upper quartile - 34 days,A Primary,1253.38
2020-05-10,Weekly earnings - upper quartile - 34 days,B Goods Producing,1508.66
2020-05-10,Weekly earnings - upper quartile - 34 days,C Services,1446.79
2020-05-10,Weekly earnings - upper quartile - 34 days,Z No Match,826.58
2020-05-10,Weekly earnings - lower quartile - 34 days,Total,600
2020-05-10,Weekly earnings - lower quartile - 34 days,A Primary,585.8
2020-05-10,Weekly earnings - lower quartile - 34 days,B Goods Producing,839.2
2020-05-10,Weekly earnings - lower quartile - 34 days,C Services,585.8
2020-05-10,Weekly earnings - lower quartile - 34 days,Z No Match,286.15
2020-05-17,Number of paid jobs - 34 days,Total,2202210
2020-05-17,Number of paid jobs - 34 days,A Primary,99050
2020-05-17,Number of paid jobs - 34 days,B Goods Producing,415720
2020-05-17,Number of paid jobs - 34 days,C Services,1642910
2020-05-17,Number of paid jobs - 34 days,Z No Match,44530
2020-05-17,Weekly earnings - median - 34 days,Total,998.52
2020-05-17,Weekly earnings - median - 34 days,A Primary,933.33
2020-05-17,Weekly earnings - median - 34 days,B Goods Producing,1137.95
2020-05-17,Weekly earnings - median - 34 days,C Services,966.23
2020-05-17,Weekly earnings - median - 34 days,Z No Match,506.04
2020-05-17,Weekly earnings - upper quartile - 34 days,Total,1445.7
2020-05-17,Weekly earnings - upper quartile - 34 days,A Primary,1253
2020-05-17,Weekly earnings - upper quartile - 34 days,B Goods Producing,1518.75
2020-05-17,Weekly earnings - upper quartile - 34 days,C Services,1453.06
2020-05-17,Weekly earnings - upper quartile - 34 days,Z No Match,777.69
2020-05-17,Weekly earnings - lower quartile - 34 days,Total,608
2020-05-17,Weekly earnings - lower quartile - 34 days,A Primary,585.86
2020-05-17,Weekly earnings - lower quartile - 34 days,B Goods Producing,851
2020-05-17,Weekly earnings - lower quartile - 34 days,C Services,585.8
2020-05-17,Weekly earnings - lower quartile - 34 days,Z No Match,278.47
2020-05-24,Number of paid jobs - 34 days,Total,2218820
2020-05-24,Number of paid jobs - 34 days,A Primary,99850
2020-05-24,Number of paid jobs - 34 days,B Goods Producing,416420
2020-05-24,Number of paid jobs - 34 days,C Services,1651300
2020-05-24,Number of paid jobs - 34 days,Z No Match,51250
2020-05-24,Weekly earnings - median - 34 days,Total,1000
2020-05-24,Weekly earnings - median - 34 days,A Primary,951.28
2020-05-24,Weekly earnings - median - 34 days,B Goods Producing,1146.08
2020-05-24,Weekly earnings - median - 34 days,C Services,974.7
2020-05-24,Weekly earnings - median - 34 days,Z No Match,603
2020-05-24,Weekly earnings - upper quartile - 34 days,Total,1447.44
2020-05-24,Weekly earnings - upper quartile - 34 days,A Primary,1275
2020-05-24,Weekly earnings - upper quartile - 34 days,B Goods Producing,1528.05
2020-05-24,Weekly earnings - upper quartile - 34 days,C Services,1451.54
2020-05-24,Weekly earnings - upper quartile - 34 days,Z No Match,903.26
